num_requests	num_servers	request_per_server	distribution	throughput	standard_error	confidence_interval
1000	10	100	uniform	347818.8281288043	0.24911844572411732	(0.8985337176003773, 1.1014662823996229)
1000	10	100	normal	363932.80344717146	0.5785499114164654	(0.7643558327307888, 1.2356441672692111)
1000	10	100	lognormal	276179.8472117849	0.3702971779530597	(0.849177454841791, 1.150822545158209)
2000	10	200	uniform	343978.07896498375	0.4049012225222344	(0.8350831803362677, 1.1649168196637323)
2000	10	200	normal	346850.74266813893	0.770853423161628	(0.68603035035851, 1.31396964964149)
2000	10	200	lognormal	296053.1379856308	0.27081358902388925	(0.8896972561719338, 1.1103027438280662)
3000	10	300	uniform	324396.5332391286	0.2815828277592383	(0.8853109305605417, 1.1146890694394582)
3000	10	300	normal	339053.16014497913	0.6557811287989986	(0.7328994526533334, 1.2671005473466666)
3000	10	300	lognormal	305710.2704282481	0.25295146657895545	(0.8969725229832136, 1.1030274770167863)
4000	10	400	uniform	329842.36421111395	0.34523542691908077	(0.8593851401878165, 1.1406148598121835)
4000	10	400	normal	339597.2325881919	0.6187507575752937	(0.7479819733114316, 1.2520180266885683)
4000	10	400	lognormal	323492.58118288947	0.1546285872663913	(0.9370195657048953, 1.0629804342951046)
5000	10	500	uniform	320598.31339639286	0.24501428529781685	(0.9002053477344603, 1.0997946522655397)
5000	10	500	normal	352827.84816575743	0.761536867131198	(0.68982499632472, 1.31017500367528)
5000	10	500	lognormal	354662.7511898935	0.2795668077580026	(0.8861320582541338, 1.1138679417458663)
6000	10	600	uniform	342040.70147531276	0.32916814345660284	(0.8659293666358413, 1.1340706333641588)
6000	10	600	normal	349780.7224650866	0.5362192752140779	(0.7815971585370028, 1.2184028414629973)
6000	10	600	lognormal	333882.97891284135	0.28726294574831607	(0.882997410763693, 1.1170025892363071)
7000	10	700	uniform	353571.42496355687	0.32820165528316925	(0.8663230185858463, 1.1336769814141539)
7000	10	700	normal	344638.13709498313	0.6475243278071031	(0.7362624589482947, 1.2637375410517053)
7000	10	700	lognormal	339869.49302784435	0.31641228594015997	(0.8711248447837986, 1.1288751552162013)
8000	10	800	uniform	351391.61180784745	0.2563743600674607	(0.8955783738012092, 1.104421626198791)
8000	10	800	normal	342425.64740705024	0.5561851085744745	(0.773465047403276, 1.226534952596724)
8000	10	800	lognormal	325059.2613507748	0.2609376122754249	(0.8937197549588825, 1.1062802450411175)
9000	10	900	uniform	343900.3202629049	0.3003076611710475	(0.8776842803968979, 1.1223157196031022)
9000	10	900	normal	326320.63046886184	0.5626759258497418	(0.7708213286824793, 1.2291786713175208)
9000	10	900	lognormal	343300.2813994262	0.23937573131113507	(0.9025019384564968, 1.0974980615435033)
10000	10	1000	uniform	334653.8999327279	0.23429425942604737	(0.9045716288794574, 1.0954283711205426)
10000	10	1000	normal	344834.18561975926	0.6600518161477931	(0.731159995876804, 1.268840004123196)
10000	10	1000	lognormal	336676.3385922963	0.48763962103176145	(0.8013837178815393, 1.1986162821184607)
11000	10	1100	uniform	341206.34931663814	0.25167406443800244	(0.8974928106158498, 1.10250718938415)
11000	10	1100	normal	336825.1898698906	0.48378312879065893	(0.8029544724263111, 1.1970455275736889)
11000	10	1100	lognormal	342759.0621289438	0.3852467278541299	(0.8430884827963846, 1.1569115172036155)
12000	10	1200	uniform	328792.27364460315	0.2776928759139012	(0.8868953132477114, 1.1131046867522887)
12000	10	1200	normal	326659.30267711997	0.37288440270112905	(0.8481236746764731, 1.151876325323527)
12000	10	1200	lognormal	340967.83036714053	0.3879108932617272	(0.8420033645955993, 1.1579966354044007)
13000	10	1300	uniform	328759.52128668583	0.38250389641052124	(0.8442056417808299, 1.15579435821917)
13000	10	1300	normal	341763.31097771885	0.49841785183677534	(0.7969937297879198, 1.20300627021208)
13000	10	1300	lognormal	340435.56111309334	0.2540099704514715	(0.896541392913589, 1.103458607086411)
14000	10	1400	uniform	329347.39085233386	0.3090827443535838	(0.874110177059462, 1.1258898229405379)
14000	10	1400	normal	333034.76766412245	0.5060716050004733	(0.7938763456951143, 1.2061236543048857)
14000	10	1400	lognormal	344790.9500453573	0.2938710671053424	(0.8803059139305538, 1.1196940860694462)
15000	10	1500	uniform	336489.492610859	0.28825189601380863	(0.8825946099729849, 1.117405390027015)
15000	10	1500	normal	350388.1412955597	0.5412922808735899	(0.7795309164192554, 1.2204690835807446)
15000	10	1500	lognormal	352486.97419635556	0.3714284737484609	(0.8487166765227868, 1.151283323477213)
16000	10	1600	uniform	344140.57333690464	0.25983212729568295	(0.8941700204974979, 1.105829979502502)
16000	10	1600	normal	355052.68260609114	0.5683656668466173	(0.768503889421442, 1.231496110578558)
16000	10	1600	lognormal	337441.42254168174	0.466899095763742	(0.8098313620848591, 1.190168637915141)
17000	10	1700	uniform	351418.12302950036	0.13213341270975051	(0.9461818809544078, 1.0538181190455922)
17000	10	1700	normal	351599.5286332625	0.7511007378102489	(0.6940756460177222, 1.3059243539822778)
17000	10	1700	lognormal	354577.2005817152	0.26641435583793105	(0.8914890698431003, 1.1085109301568996)
18000	10	1800	uniform	355319.58124166075	0.2670270712682956	(0.8912395100134086, 1.1087604899865915)
18000	10	1800	normal	337597.496046874	0.730261580057887	(0.7025634633663143, 1.2974365366336857)
18000	10	1800	lognormal	348962.81562741566	0.3091417829658563	(0.8740861305522357, 1.1259138694477644)
19000	10	1900	uniform	340628.45340106846	0.19540794745346937	(0.9204100767335316, 1.0795899232664683)
19000	10	1900	normal	353421.53432750807	0.4977559615212226	(0.7972633186153558, 1.202736681384644)
19000	10	1900	lognormal	345281.69116210076	0.333965430227827	(0.8639754251969963, 1.1360245748030038)
20000	10	2000	uniform	336062.95426994783	0.3883371602100423	(0.8418297454867066, 1.1581702545132933)
20000	10	2000	normal	340819.0198007501	0.5906432087140255	(0.7594302162628066, 1.2405697837371934)
20000	10	2000	lognormal	355414.75444643403	0.37739760200616007	(0.8462854424497146, 1.1537145575502854)
21000	10	2100	uniform	333110.0332868925	0.25213995681591056	(0.8973030520154891, 1.1026969479845108)
21000	10	2100	normal	339597.2531821718	0.7170668080843207	(0.7079377119707357, 1.2920622880292643)
21000	10	2100	lognormal	341761.40279190097	0.2789620379085734	(0.8863783818378836, 1.1136216181621164)
22000	10	2200	uniform	343107.3171066446	0.277591173318123	(0.8869367368535548, 1.1130632631464452)
22000	10	2200	normal	330160.15408754477	0.3163904116151175	(0.871133754226195, 1.128866245773805)
22000	10	2200	lognormal	343224.1270086529	0.25071748283346157	(0.8978824276068459, 1.102117572393154)
23000	10	2300	uniform	345698.0715729079	0.25512041709979233	(0.8960891064806005, 1.1039108935193995)
23000	10	2300	normal	344805.0989178367	0.5561949108253124	(0.7734610549331529, 1.2265389450668471)
23000	10	2300	lognormal	328815.5177249649	0.3469816924508125	(0.858673883857229, 1.141326116142771)
24000	10	2400	uniform	347415.53745639627	0.4043258277676557	(0.8353175394038576, 1.1646824605961423)
24000	10	2400	normal	342393.37103607453	0.6808981762267312	(0.7226692450107834, 1.2773307549892166)
24000	10	2400	lognormal	330642.5459255608	0.2567468759952754	(0.895426647556209, 1.104573352443791)
25000	10	2500	uniform	348065.2846841278	0.23569234183570753	(0.9040021880089343, 1.0959978119910656)
25000	10	2500	normal	348918.47971919714	0.5079653531492084	(0.7931050194936571, 1.206894980506343)
25000	10	2500	lognormal	343407.0698367315	0.28407396219998765	(0.8842962881083307, 1.1157037118916693)
26000	10	2600	uniform	333570.0269266707	0.286033214854499	(0.8834982818324124, 1.1165017181675876)
26000	10	2600	normal	336851.2392504454	0.44772819047316936	(0.817639697932554, 1.182360302067446)
26000	10	2600	lognormal	350350.5230032607	0.42168947323157063	(0.8282453029461863, 1.1717546970538137)
27000	10	2700	uniform	339789.24936766794	0.4160568047108804	(0.8305394965099047, 1.1694605034900953)
27000	10	2700	normal	342486.3529970309	0.6760650288119048	(0.7246377925386325, 1.2753622074613675)
27000	10	2700	lognormal	333363.8752261488	0.36202588786470086	(0.852546362565485, 1.147453637434515)
28000	10	2800	uniform	338076.6534236407	0.3598822440630223	(0.8534194716069013, 1.1465805283930988)
28000	10	2800	normal	350466.9841138198	0.49517977564121257	(0.7983126026346713, 1.2016873973653288)
28000	10	2800	lognormal	334839.26095091505	0.3566241590474859	(0.8547464940732927, 1.1452535059267073)
29000	10	2900	uniform	336077.00418826117	0.2135308736626494	(0.9130285841936954, 1.0869714158063046)
29000	10	2900	normal	339198.4329313115	0.4559828469561027	(0.8142775650990153, 1.1857224349009847)
29000	10	2900	lognormal	346735.5138326188	0.407548425811815	(0.8340049708292637, 1.1659950291707362)
30000	10	3000	uniform	339945.06850301067	0.20266085517983537	(0.9174559575335554, 1.0825440424664448)
30000	10	3000	normal	351816.7700734335	0.6390658286384379	(0.739707617185494, 1.260292382814506)
30000	10	3000	lognormal	351324.1183515395	0.3592073681501165	(0.8536943494858338, 1.1463056505141662)
31000	10	3100	uniform	337933.6716434558	0.2962681168913867	(0.8793295922864067, 1.1206704077135932)
31000	10	3100	normal	340465.66433428647	0.5122307825675664	(0.7913677042793592, 1.2086322957206408)
31000	10	3100	lognormal	353453.8656622192	0.20543697241683648	(0.9163252412001051, 1.083674758799895)
32000	10	3200	uniform	337991.91819074616	0.31366791132302646	(0.8722426323049235, 1.1277573676950765)
32000	10	3200	normal	338804.46069952956	0.5654939247297446	(0.7696735538987652, 1.2303264461012349)
32000	10	3200	lognormal	348700.50653979083	0.2602297662643534	(0.8940080616037238, 1.1059919383962762)
33000	10	3300	uniform	338269.5748146206	0.31596038388906894	(0.8713089051049832, 1.1286910948950168)
33000	10	3300	normal	347416.4669214991	0.4756332398810097	(0.8062739332844918, 1.193726066715508)
33000	10	3300	lognormal	354155.09894159785	0.2934197531100309	(0.880489734735818, 1.119510265264182)
34000	10	3400	uniform	350246.25453608815	0.2615482581656413	(0.893471038055713, 1.1065289619442868)
34000	10	3400	normal	353680.5769237571	0.43741324399332177	(0.8218409896892482, 1.1781590103107518)
34000	10	3400	lognormal	352886.2336713832	0.24778028413122835	(0.8990787526405797, 1.1009212473594203)
35000	10	3500	uniform	341762.5752540441	0.4186080530052143	(0.8295003696032158, 1.170499630396784)
35000	10	3500	normal	355087.2353971084	0.6020640280547833	(0.7547785009829685, 1.2452214990170316)
35000	10	3500	lognormal	352339.00956175587	0.2578459910528779	(0.8949789764955607, 1.1050210235044393)
36000	10	3600	uniform	354946.4429199977	0.24771212383792662	(0.8991065144209187, 1.1008934855790813)
36000	10	3600	normal	355773.2360688836	0.34568455077132865	(0.8592022114308066, 1.1407977885691936)
36000	10	3600	lognormal	354286.7924422833	0.32267791054024336	(0.8685728473464586, 1.1314271526535413)
37000	10	3700	uniform	338428.4003406017	0.3272314973918583	(0.8667181652169431, 1.1332818347830569)
37000	10	3700	normal	349942.8439298801	0.4837483000727017	(0.8029686582105937, 1.1970313417894063)
37000	10	3700	lognormal	353192.50466321496	0.41811083351371553	(0.8297028877796293, 1.1702971122203707)
38000	10	3800	uniform	360078.70334976667	0.35724670433222006	(0.8544929305305218, 1.1455070694694782)
38000	10	3800	normal	354669.10016958596	0.49762853126067214	(0.7973152211341183, 1.2026847788658817)
38000	10	3800	lognormal	340600.7280806648	0.3720833388910775	(0.8484499490578604, 1.1515500509421395)
39000	10	3900	uniform	355636.32046261174	0.2405788548570702	(0.9020119045968256, 1.0979880954031744)
39000	10	3900	normal	351102.6852468407	0.6660661397820058	(0.7287103536652932, 1.2712896463347068)
39000	10	3900	lognormal	358997.76109665533	0.4263706597709064	(0.826338649289991, 1.1736613507100089)
40000	10	4000	uniform	354821.41585329844	0.32443265865199206	(0.8678581360494715, 1.1321418639505285)
40000	10	4000	normal	350672.8891116129	0.7189226227487906	(0.707181836129109, 1.292818163870891)
40000	10	4000	lognormal	353472.21857703995	0.239515604919596	(0.9024449677451747, 1.0975550322548253)
41000	10	4100	uniform	349307.4409164355	0.24807779766482457	(0.8989575749729452, 1.101042425027055)
41000	10	4100	normal	349869.8761396638	0.7433874346858309	(0.6972172848906735, 1.3027827151093265)
41000	10	4100	lognormal	355686.01308823895	0.23758626599492455	(0.9032307901181679, 1.096769209881832)
42000	10	4200	uniform	361141.2590018866	0.32830508528645014	(0.8662808914045732, 1.1337191085954268)
42000	10	4200	normal	357709.330627302	0.6003918977126542	(0.7554595619498121, 1.2445404380501879)
42000	10	4200	lognormal	355895.08473891625	0.2905280984065376	(0.8816675096368054, 1.1183324903631946)
43000	10	4300	uniform	355399.9744872409	0.4262432393370998	(0.8263905478063074, 1.1736094521936926)
43000	10	4300	normal	342962.57114668813	0.4797923992200981	(0.8045799020182871, 1.195420097981713)
43000	10	4300	lognormal	350899.61276187614	0.3151423485311838	(0.871642092020929, 1.1283579079790709)
44000	10	4400	uniform	355443.6489696363	0.28359367394359564	(0.8844919101696143, 1.1155080898303857)
44000	10	4400	normal	354374.88154113514	0.670967531022143	(0.7267140103344042, 1.2732859896655957)
44000	10	4400	lognormal	353459.05352389475	0.26715129430640383	(0.8911889138007171, 1.1088110861992828)
45000	10	4500	uniform	341758.52654866816	0.34567906331569287	(0.8592044464789643, 1.1407955535210357)
45000	10	4500	normal	345037.1863827624	0.6288943227091516	(0.7438504854104884, 1.2561495145895116)
45000	10	4500	lognormal	358958.80409284827	0.2732412310951083	(0.8887084742483491, 1.111291525751651)
46000	10	4600	uniform	353571.9044385841	0.3026392101056698	(0.8767346373387885, 1.1232653626612115)
46000	10	4600	normal	348706.0654994313	0.3909004558089013	(0.8407857116964687, 1.1592142883035312)
46000	10	4600	lognormal	353386.7103473127	0.35822947308607034	(0.8540926474779287, 1.1459073525220713)
47000	10	4700	uniform	351468.45239362057	0.17751784383558797	(0.927696740314681, 1.072303259685319)
47000	10	4700	normal	345290.0265782223	0.4721966141048812	(0.8076736756459573, 1.1923263243540427)
47000	10	4700	lognormal	357702.0411102542	0.3315827170322591	(0.8649459075283068, 1.1350540924716932)
48000	10	4800	uniform	356573.10161242133	0.22415100239570643	(0.9087029912894184, 1.0912970087105816)
48000	10	4800	normal	354543.24529785727	0.8739459474688478	(0.6440406247312451, 1.3559593752687549)
48000	10	4800	lognormal	356402.5713465416	0.3123493942642153	(0.8727796660996276, 1.1272203339003724)
49000	10	4900	uniform	354852.4295478521	0.2562777803634921	(0.895617710846238, 1.104382289153762)
49000	10	4900	normal	354375.79177676904	0.5084652901332636	(0.7929013944788225, 1.2070986055211774)
49000	10	4900	lognormal	355086.89624928305	0.2732422297491441	(0.8887080674951996, 1.1112919325048005)
50000	10	5000	uniform	357365.03609100974	0.24748682389169735	(0.8991982793960183, 1.1008017206039817)
50000	10	5000	normal	357999.6115847414	0.45117272080656645	(0.816236736034142, 1.183763263965858)
50000	10	5000	lognormal	341661.2675075433	0.2691593877240769	(0.8903710146154111, 1.1096289853845889)
1000	20	50	uniform	317710.45140300936	0.3341855771872867	(0.903752697201428, 1.096247302798572)
1000	20	50	normal	316334.66816018807	0.8145428165541697	(0.7654071436381747, 1.2345928563618251)
1000	20	50	lognormal	304064.67577279557	0.35298725189445584	(0.8983377104330224, 1.1016622895669776)
2000	20	100	uniform	329651.3475487785	0.3758723187466723	(0.89174668404155, 1.10825331595845)
2000	20	100	normal	327510.4164687958	0.5734370061305775	(0.8348469565039748, 1.165153043496025)
2000	20	100	lognormal	285101.8055782449	0.42887060985803166	(0.8764828817693677, 1.1235171182306323)
3000	20	150	uniform	319404.4257316038	0.32712213145687474	(0.9057870088127734, 1.0942129911872267)
3000	20	150	normal	329594.450508372	0.853216137785601	(0.7542690122738102, 1.24573098772619)
3000	20	150	lognormal	318472.0475491506	0.29070030386407697	(0.9162766975010341, 1.0837233024989659)
4000	20	200	uniform	303289.1557294279	0.2962473628574607	(0.9146791136942425, 1.0853208863057575)
4000	20	200	normal	327306.50232825393	0.9329616819569815	(0.7313018525259245, 1.2686981474740755)
4000	20	200	lognormal	324698.04299619014	0.2506391828904651	(0.927814522901071, 1.072185477098929)
5000	20	250	uniform	313410.4180882441	0.38849041172209126	(0.8881126031647889, 1.111887396835211)
5000	20	250	normal	313494.3059715712	0.8856843681583184	(0.7449179815491496, 1.2550820184508504)
5000	20	250	lognormal	312346.9109702607	0.2009815911968059	(0.9421161851816935, 1.0578838148183065)
6000	20	300	uniform	310939.2147002111	0.26771253239249	(0.922897303393461, 1.077102696606539)
6000	20	300	normal	326357.8335235637	1.0005004303402927	(0.7118503177798811, 1.2881496822201188)
6000	20	300	lognormal	328026.7534246403	0.3082711649037437	(0.911216191906657, 1.088783808093343)
7000	20	350	uniform	306639.3418888922	0.3376932553277864	(0.9027424664100513, 1.0972575335899486)
7000	20	350	normal	319109.92037523683	0.8000637729683343	(0.7695771886292505, 1.2304228113707494)
7000	20	350	lognormal	317405.68913422833	0.34257250089192354	(0.9013372165809215, 1.0986627834190785)
8000	20	400	uniform	311392.8403234733	0.3373870181260684	(0.9028306644254475, 1.0971693355745527)
8000	20	400	normal	312539.16506412206	0.8875151407159204	(0.7443907088816997, 1.2556092911183003)
8000	20	400	lognormal	315156.43636702	0.2267694313614602	(0.9346891439498761, 1.0653108560501239)
9000	20	450	uniform	317360.50841999747	0.286853513612096	(0.9173845944644555, 1.0826154055355444)
9000	20	450	normal	330402.055247629	0.6541234828869832	(0.8116088029442492, 1.1883911970557508)
9000	20	450	lognormal	314441.314821684	0.3197622573640734	(0.9079066934392952, 1.0920933065607048)
10000	20	500	uniform	312866.9929827688	0.27735969425999873	(0.9201188671807917, 1.0798811328192084)
10000	20	500	normal	317616.4435876988	0.6756886857125846	(0.8053979047249491, 1.194602095275051)
10000	20	500	lognormal	323275.1235525195	0.280734037836526	(0.9191470374845795, 1.0808529625154206)
11000	20	550	uniform	319559.42168227525	0.3133197347731979	(0.9097621757369143, 1.0902378242630857)
11000	20	550	normal	320822.53765494126	0.827725949776787	(0.7616103280311384, 1.2383896719688616)
11000	20	550	lognormal	319902.2843931308	0.27453582162510576	(0.9209321581876708, 1.0790678418123292)
12000	20	600	uniform	318493.8299384678	0.31077233539110977	(0.910495840911038, 1.089504159088962)
12000	20	600	normal	314986.9119000769	0.6530756294471398	(0.8119105905562759, 1.188089409443724)
12000	20	600	lognormal	318513.93290095247	0.33629352258604883	(0.9031455972158897, 1.0968544027841103)
13000	20	650	uniform	308939.9571390962	0.2830321871005332	(0.9184851577291726, 1.0815148422708274)
13000	20	650	normal	331198.8332833223	0.8387161222534181	(0.7584450973019436, 1.2415549026980564)
13000	20	650	lognormal	318989.128359753	0.3257700935416783	(0.9061764032435993, 1.0938235967564007)
14000	20	700	uniform	323449.4273420303	0.22273806342419153	(0.935850200312082, 1.064149799687918)
14000	20	700	normal	322235.6302933532	0.7767722330521453	(0.7762852815213089, 1.223714718478691)
14000	20	700	lognormal	318653.9837221986	0.32432630331258694	(0.9065922228505571, 1.093407777149443)
15000	20	750	uniform	325611.42227503395	0.3418532498667292	(0.9015443648719779, 1.0984556351280221)
15000	20	750	normal	328651.5819972551	0.9252378432958017	(0.7335263609701452, 1.2664736390298548)
15000	20	750	lognormal	330560.47454027634	0.45953154891089304	(0.8676523609852362, 1.1323476390147638)
16000	20	800	uniform	329016.43887453433	0.241567795866916	(0.9304271327599617, 1.0695728672400384)
16000	20	800	normal	330846.7511851913	0.7681829209244371	(0.7787590511320294, 1.2212409488679705)
16000	20	800	lognormal	330032.9624546664	0.2917570693230928	(0.915972343177975, 1.084027656822025)
17000	20	850	uniform	330790.19882650813	0.2994460860948238	(0.9137578636313687, 1.0862421363686314)
17000	20	850	normal	332619.8181696589	0.6615876887429162	(0.8094590701903301, 1.1905409298096699)
17000	20	850	lognormal	332414.0325494346	0.2714620163072135	(0.9218174311957553, 1.0781825688042446)
18000	20	900	uniform	332701.57616817206	0.2856834992231701	(0.9177215651084835, 1.0822784348915166)
18000	20	900	normal	327657.3254839744	0.7588508205841478	(0.7814467478745345, 1.2185532521254654)
18000	20	900	lognormal	330275.3505597617	0.32890746944511623	(0.9052728215537111, 1.0947271784462889)
19000	20	950	uniform	330948.66818940215	0.3130558878533793	(0.9098381651156242, 1.0901618348843758)
19000	20	950	normal	331147.5214976178	0.8231378379572939	(0.7629317297244166, 1.2370682702755835)
19000	20	950	lognormal	329823.3990120505	0.34364527868476075	(0.9010282506167652, 1.0989717493832347)
20000	20	1000	uniform	320875.57961159776	0.3111502852320724	(0.9103869892571397, 1.0896130107428603)
20000	20	1000	normal	332931.50165740796	0.852233536068606	(0.7545520070271505, 1.2454479929728495)
20000	20	1000	lognormal	334519.545215995	0.30298646834471005	(0.9127382138748008, 1.0872617861251992)
21000	20	1050	uniform	329561.76571284584	0.26488863017230063	(0.9237106029210699, 1.07628939707893)
21000	20	1050	normal	331811.0055074307	0.9481640452418255	(0.7269234874431303, 1.2730765125568697)
21000	20	1050	lognormal	332586.2759286834	0.3105369499414064	(0.9105636332282369, 1.089436366771763)
22000	20	1100	uniform	332959.36447380186	0.3070272015299929	(0.9115744602691382, 1.0884255397308618)
22000	20	1100	normal	324331.4930862698	0.9078182910620256	(0.7385432887878296, 1.2614567112121704)
22000	20	1100	lognormal	327671.61465698964	0.29124100383367996	(0.9161209729059288, 1.0838790270940712)
23000	20	1150	uniform	328891.90083960665	0.3108096628208903	(0.9104850904038886, 1.0895149095961114)
23000	20	1150	normal	325848.06954073824	0.7388212652622965	(0.7872153710814618, 1.2127846289185382)
23000	20	1150	lognormal	328645.9232123373	0.24437149815707068	(0.9296196509244236, 1.0703803490755766)
24000	20	1200	uniform	322571.72241122683	0.26543740107394215	(0.9235525538526993, 1.0764474461473006)
24000	20	1200	normal	318940.3991956376	0.7504528262618806	(0.7838654168944215, 1.2161345831055785)
24000	20	1200	lognormal	326212.19363781833	0.3176637810292161	(0.9085110662818235, 1.0914889337181766)
25000	20	1250	uniform	326435.18338253757	0.3003669222800673	(0.9134926576943113, 1.0865073423056888)
25000	20	1250	normal	322727.6423971176	0.5310449171209531	(0.8470561136480808, 1.1529438863519192)
25000	20	1250	lognormal	328863.07129615895	0.2179792283682094	(0.9372207712459224, 1.0627792287540776)
26000	20	1300	uniform	329210.49524071784	0.29594448143980406	(0.914766345225186, 1.085233654774814)
26000	20	1300	normal	330140.4812506047	0.633414621587027	(0.8175730700467563, 1.1824269299532437)
26000	20	1300	lognormal	329035.0306132927	0.2599575522928365	(0.9251307807449685, 1.0748692192550315)
27000	20	1350	uniform	321476.1766924033	0.2182256669160624	(0.937149795575051, 1.062850204424949)
27000	20	1350	normal	330131.8249390164	0.8935207100337738	(0.7426610715542057, 1.2573389284457943)
27000	20	1350	lognormal	324752.2561260905	0.307636683797799	(0.9113989259900301, 1.0886010740099699)
28000	20	1400	uniform	327072.79786586866	0.2775653995374931	(0.9200596229180773, 1.0799403770819227)
28000	20	1400	normal	319878.4315729883	0.7783848400268811	(0.7758208417537438, 1.2241791582462562)
28000	20	1400	lognormal	328383.21824302943	0.22643307791820122	(0.934786015610147, 1.0652139843898532)
29000	20	1450	uniform	325662.47355269786	0.28949634397482793	(0.9166234446377395, 1.0833765553622605)
29000	20	1450	normal	331869.9242926885	0.7963744839384622	(0.7706397243657062, 1.2293602756342938)
29000	20	1450	lognormal	324359.4119717301	0.34730359337197253	(0.8999746356630738, 1.1000253643369262)
30000	20	1500	uniform	326632.759863471	0.28626211764744564	(0.9175549197877763, 1.0824450802122236)
30000	20	1500	normal	320823.99922642915	0.7689442690396288	(0.7785397786451832, 1.2214602213548167)
30000	20	1500	lognormal	329608.1641217492	0.33658711931517654	(0.9030610397268237, 1.0969389602731763)
