num_requests	num_servers	request_per_server	distribution	throughput	standard_error	confidence_interval
1000	10	100	uniform	481818.1117355473	0.08234075540095558	(0.966462498125233, 1.033537501874767)
1000	10	100	normal	493220.19519682444	0.28495613697550015	(0.883936977120187, 1.116063022879813)
1000	10	100	lognormal	436141.09338827553	0.1036339712642529	(0.957789742289344, 1.042210257710656)
2000	10	200	uniform	529070.1565545046	0.07446475676452587	(0.9696704031019204, 1.0303295968980797)
2000	10	200	normal	513623.0818103981	0.4708290560277689	(0.8082306839142404, 1.1917693160857596)
2000	10	200	lognormal	511810.540021537	0.09521029356114807	(0.9612207176961719, 1.0387792823038282)
3000	10	300	uniform	518512.09152913705	0.03999999999999999	(0.9837079454948126, 1.0162920545051874)
3000	10	300	normal	454414.56937933486	0.36458499999619054	(0.8515040327072071, 1.148495967292793)
3000	10	300	lognormal	495010.0511790892	0.07260241808033054	(0.9704289361856712, 1.029571063814329)
4000	10	400	uniform	516071.4986097034	0.06156297588648555	(0.9749253160338959, 1.0250746839661042)
4000	10	400	normal	488283.93222374876	0.562099857676552	(0.7710559620343871, 1.228944037965613)
4000	10	400	lognormal	504509.7495878471	0.07074602462329597	(0.9711850477702981, 1.0288149522297019)
5000	10	500	uniform	456518.27753097384	0.06977105417004963	(0.9715821545644291, 1.028417845435571)
5000	10	500	normal	506025.34498783917	0.42971432370820495	(0.8249767704121536, 1.1750232295878464)
5000	10	500	lognormal	504332.41719668644	0.06791759713064056	(0.972337070142156, 1.0276629298578441)
6000	10	600	uniform	515387.5834884936	0.05709640969448082	(0.9767445545301751, 1.0232554454698248)
6000	10	600	normal	517365.27937466407	0.5144765408753941	(0.790453003860444, 1.209546996139556)
6000	10	600	lognormal	465749.84327517776	0.04435964131705509	(0.9819322576457993, 1.0180677423542006)
7000	10	700	uniform	494600.76144493796	0.02199257759762953	(0.9910423931767464, 1.0089576068232537)
7000	10	700	normal	506641.6009353472	0.5688707037201164	(0.7682981872146875, 1.2317018127853125)
7000	10	700	lognormal	505942.25565392274	0.061660691014020656	(0.9748855165293013, 1.0251144834706987)
8000	10	800	uniform	480399.461760443	0.032648698289518316	(0.9867021406985936, 1.0132978593014064)
8000	10	800	normal	490836.3311162256	0.5552870879103889	(0.7738308124434277, 1.2261691875565723)
8000	10	800	lognormal	495308.929132189	0.046850827100489885	(0.9809175942816426, 1.0190824057183574)
9000	10	900	uniform	487661.8305784774	0.03994131497554014	(0.9837318479852409, 1.016268152014759)
9000	10	900	normal	494891.2105396431	0.45465873784766814	(0.8148168765431509, 1.185183123456849)
9000	10	900	lognormal	505263.1862603894	0.05265072426312952	(0.9785552882641874, 1.0214447117358125)
10000	10	1000	uniform	481572.3452650266	0.037384488762052116	(0.984773246786002, 1.015226753213998)
10000	10	1000	normal	507788.3820354017	0.48980404244963105	(0.8005021460887362, 1.199497853911264)
10000	10	1000	lognormal	494160.70066452754	0.039296310259361505	(0.9839945592850431, 1.0160054407149568)
11000	10	1100	uniform	494013.85448381794	0.04388941776482725	(0.9821237803393622, 1.0178762196606377)
11000	10	1100	normal	510690.2559138512	0.5626153508906873	(0.7708460009458434, 1.2291539990541565)
11000	10	1100	lognormal	495307.4348482731	0.046422422624353074	(0.9810920840085298, 1.0189079159914702)
12000	10	1200	uniform	486983.716603722	0.0525119034124645	(0.9786118301858246, 1.0213881698141754)
12000	10	1200	normal	509160.7998967082	0.6586049017936829	(0.7317493260648416, 1.2682506739351584)
12000	10	1200	lognormal	495608.76181773935	0.052899275357355634	(0.978454053064826, 1.021545946935174)
13000	10	1300	uniform	496540.0516271789	0.03401009248050558	(0.9861476429895284, 1.0138523570104716)
13000	10	1300	normal	495814.14627936104	0.44354342428985377	(0.8193441589013051, 1.180655841098695)
13000	10	1300	lognormal	509824.6144500375	0.038743581258802	(0.9842196865601359, 1.015780313439864)
14000	10	1400	uniform	485056.6854566077	0.0313717017942825	(0.9872222631111766, 1.0127777368888236)
14000	10	1400	normal	494168.33710272	0.7440159231344119	(0.6969613006891694, 1.3030386993108305)
14000	10	1400	lognormal	489345.65188775223	0.03731416539031139	(0.9848018895911367, 1.0151981104088634)
15000	10	1500	uniform	493178.51911642135	0.055503353252053335	(0.9773934085899217, 1.0226065914100781)
15000	10	1500	normal	501281.82776176964	0.3918724282212261	(0.8403898260084903, 1.1596101739915097)
15000	10	1500	lognormal	503034.65717634774	0.040037759955100165	(0.9836925658136474, 1.0163074341863527)
16000	10	1600	uniform	511049.13788565685	0.041418217610128996	(0.9831303035297015, 1.0168696964702983)
16000	10	1600	normal	511307.17468784057	0.495676778505913	(0.798110172690648, 1.2018898273093521)
16000	10	1600	lognormal	508484.929110527	0.04802993858001486	(0.9804373405693397, 1.0195626594306602)
17000	10	1700	uniform	514945.3809550783	0.04223021434305313	(0.9827995761539307, 1.0172004238460692)
17000	10	1700	normal	514320.79355704895	0.5475716129240784	(0.7769733359186872, 1.2230266640813128)
17000	10	1700	lognormal	498611.44046352094	0.0411445254234186	(0.9832417787302898, 1.0167582212697102)
18000	10	1800	uniform	512412.4660729571	0.027396269007942568	(0.9888414623020956, 1.0111585376979044)
18000	10	1800	normal	514621.58573951566	0.5678589852775896	(0.7687102615149263, 1.2312897384850738)
18000	10	1800	lognormal	499180.01363094227	0.02884826203122506	(0.9882500635651837, 1.0117499364348161)
19000	10	1900	uniform	512954.93331842346	0.037274901509574444	(0.9848178818232629, 1.015182118176737)
