num_requests	num_servers	request_per_server	distribution	throughput	standard_error	confidence_interval
1000	10	100	uniform	465235.94208184705	0.0742967024840268	(0.9697388518393634, 1.0302611481606365)
1000	10	100	normal	487005.95072571194	0.46307666751845744	(0.8113882423177177, 1.1886117576822823)
1000	10	100	lognormal	460963.7461232949	0.12806248474865697	(0.9478399754601284, 1.0521600245398715)
2000	10	200	uniform	399977.76123647526	0.09322016949137132	(0.962031297941594, 1.0379687020584059)
2000	10	200	normal	482750.59704180085	0.46505376033314694	(0.8105829697202492, 1.1894170302797509)
2000	10	200	lognormal	476443.785469751	0.06659579566308971	(0.9728754416810154, 1.0271245583189847)
3000	10	300	uniform	497053.96117213275	0.06331578704311339	(0.9742113936613688, 1.0257886063386312)
3000	10	300	normal	487118.1602521324	0.32223524877883164	(0.8687531440850657, 1.1312468559149345)
3000	10	300	lognormal	485624.38507812243	0.03412395704551925	(0.986101265797043, 1.0138987342029568)
4000	10	400	uniform	471475.9412899299	0.07001785486574119	(0.9714816323047759, 1.028518367695224)
4000	10	400	normal	428439.19387451914	0.5459555842740323	(0.7776315465898995, 1.2223684534101005)
4000	10	400	lognormal	481835.46547534456	0.06364943047663502	(0.974075500236263, 1.025924499763737)
5000	10	500	uniform	428413.5887649393	0.047799581588126853	(0.980531165286027, 1.0194688347139729)
5000	10	500	normal	451214.2627023583	0.45846526585991215	(0.8132664724968759, 1.186733527503124)
5000	10	500	lognormal	484641.70438794594	0.037448631483673715	(0.9847471213680827, 1.0152528786319173)
6000	10	600	uniform	451689.3747226345	0.07986446852845974	(0.9674710931426626, 1.0325289068573373)
6000	10	600	normal	497544.78234737646	0.7039183980484607	(0.7132930772947554, 1.2867069227052446)
6000	10	600	lognormal	488437.02675031207	0.03887301263230201	(0.9841669689853424, 1.0158330310146577)
7000	10	700	uniform	487398.5540834495	0.030526000961375133	(0.9875667182127967, 1.0124332817872033)
7000	10	700	normal	479984.311369937	0.635486315464666	(0.7411655577787222, 1.2588344422212778)
7000	10	700	lognormal	454516.47174186684	0.0500040814660694	(0.979633269481824, 1.020366730518176)
8000	10	800	uniform	464478.8089091216	0.030176563754012786	(0.9877090444635089, 1.012290955536491)
8000	10	800	normal	470168.8170523177	0.5808407161175945	(0.7634227848545004, 1.2365772151454997)
8000	10	800	lognormal	476409.73810089263	0.05346143469829439	(0.9782250847992466, 1.0217749152007534)
9000	10	900	uniform	486441.3394713582	0.03748250620762887	(0.9847333241468571, 1.015266675853143)
9000	10	900	normal	468807.2335497625	0.2284007740360065	(0.9069720535094593, 1.0930279464905408)
9000	10	900	lognormal	463045.8777109214	0.06677583654046584	(0.972802110786331, 1.027197889213669)
10000	10	1000	uniform	465791.1996857586	0.043607338831898455	(0.9822386714731133, 1.0177613285268867)
10000	10	1000	normal	486755.5991861641	0.41390361196781067	(0.8314164948481614, 1.1685835051518385)
10000	10	1000	lognormal	459702.459421949	0.03936495903719449	(0.9839665985442889, 1.016033401455711)
11000	10	1100	uniform	487512.3274139882	0.039657625656704075	(0.9838473950313664, 1.0161526049686336)
11000	10	1100	normal	468689.65620676335	0.6108622817564752	(0.7511949602615078, 1.2488050397384922)
11000	10	1100	lognormal	487421.33905808226	0.03425717032984862	(0.9860470078448154, 1.0139529921551846)
12000	10	1200	uniform	468510.766689759	0.045687647248584685	(0.9813913590203069, 1.018608640979693)
12000	10	1200	normal	465313.2255978111	0.5642157782661208	(0.7701941446950396, 1.2298058553049604)
12000	10	1200	lognormal	464662.58468330395	0.05302777050229854	(0.9784017168171995, 1.0215982831828005)
13000	10	1300	uniform	463182.2652498753	0.036860523936212204	(0.9849866583735366, 1.0150133416264635)
13000	10	1300	normal	470766.3681754403	0.5152456758759608	(0.7901397341266669, 1.209860265873333)
13000	10	1300	lognormal	471306.48077952355	0.04443198378906741	(0.9819027924583726, 1.0180972075416272)
14000	10	1400	uniform	465024.7572537551	0.06022915423952227	(0.975468583408209, 1.024531416591791)
14000	10	1400	normal	482986.9069494329	0.32533671725127605	(0.867489911750086, 1.132510088249914)
14000	10	1400	lognormal	474527.8050075767	0.046563540085630545	(0.9810346066742606, 1.0189653933257394)
15000	10	1500	uniform	464591.3124955457	0.03443641483468722	(0.9859740013137507, 1.0140259986862492)
15000	10	1500	normal	482792.052096996	0.4010294530607723	(0.8366601573137092, 1.1633398426862906)
15000	10	1500	lognormal	480248.36140059505	0.05211099265563414	(0.9787751216833745, 1.0212248783166253)
16000	10	1600	uniform	480875.36146424146	0.030591818759269602	(0.987539910534029, 1.012460089465971)
16000	10	1600	normal	486072.9615565806	0.5273582451711549	(0.7852062681477879, 1.2147937318522122)
16000	10	1600	lognormal	468878.31880865525	0.027593590741329714	(0.9887610928912105, 1.0112389071087895)
17000	10	1700	uniform	486603.1567492459	0.03736567638389942	(0.9847809090932579, 1.0152190909067422)
17000	10	1700	normal	473628.57016688865	0.4151749537418326	(0.8308986756112342, 1.1691013243887658)
17000	10	1700	lognormal	473715.2146738025	0.03914041796326528	(0.9840580544296665, 1.0159419455703333)
18000	10	1800	uniform	487924.452596879	0.03691414797862268	(0.9849648172279931, 1.015035182772007)
18000	10	1800	normal	487477.31707109004	0.4134474155586158	(0.8316023042672532, 1.1683976957327467)
18000	10	1800	lognormal	483589.08210601105	0.03999537010242097	(0.9837098312584053, 1.0162901687415946)
19000	10	1900	uniform	487592.29031388677	0.01892249829774743	(0.9922928406589695, 1.0077071593410305)
19000	10	1900	normal	486471.359510784	0.5110920901889792	(0.7918314952367738, 1.2081685047632262)
19000	10	1900	lognormal	486304.0401525377	0.04652107615173782	(0.9810519022923977, 1.0189480977076022)
20000	10	2000	uniform	486526.1922835194	0.02706843179794497	(0.9889749908444483, 1.0110250091555517)
20000	10	2000	normal	475337.59604998265	0.2601976172066147	(0.8940211559587481, 1.105978844041252)
20000	10	2000	lognormal	485076.2884329582	0.042571704217707805	(0.9826604868626596, 1.0173395131373404)
21000	10	2100	uniform	483243.61953889264	0.03625620597436153	(0.9852327979028599, 1.01476720209714)
