num_requests	num_servers	request_per_server	distribution	throughput	standard_error	confidence_interval
1000	10	100	uniform	168269.20649963367	0.11687600266949584	(0.9523962448540034, 1.0476037551459967)
1000	10	100	normal	170286.67762177627	0.6705669243259765	(0.7268771779876314, 1.2731228220123687)
1000	10	100	lognormal	147644.05852256133	0.09110433579144295	(0.9628930798906727, 1.0371069201093273)
2000	10	200	uniform	170088.17456013284	0.06284902544988263	(0.9744015062943149, 1.025598493705685)
2000	10	200	normal	160069.3292278752	0.6513370863078501	(0.7347095172155624, 1.2652904827844376)
2000	10	200	lognormal	166875.4835217135	0.09528903399657274	(0.9611886466095293, 1.0388113533904706)
3000	10	300	uniform	165612.8262496771	0.04821249261803871	(0.9803629860608991, 1.019637013939101)
3000	10	300	normal	171506.8961779574	0.5232250418743778	(0.7868897274825908, 1.2131102725174092)
3000	10	300	lognormal	161548.2004095893	0.06866990283636314	(0.972030655003101, 1.027969344996899)
4000	10	400	uniform	153602.740764424	0.06572670690061991	(0.9732294227182154, 1.0267705772817846)
4000	10	400	normal	160243.9810758268	0.4051110958737121	(0.8349976986342312, 1.1650023013657689)
4000	10	400	lognormal	159550.5842961779	0.08208988975507271	(0.966564676044638, 1.033435323955362)
5000	10	500	uniform	157834.0172649581	0.04746367031741222	(0.9806679824043117, 1.0193320175956881)
5000	10	500	normal	158868.30859393667	0.4941983407499463	(0.7987123424032163, 1.2012876575967837)
5000	10	500	lognormal	159136.1580107471	0.057320153523869745	(0.976653423363585, 1.023346576636415)
6000	10	600	uniform	150847.043863052	0.041331989225457486	(0.9831654244682756, 1.0168345755317243)
6000	10	600	normal	163123.4929938052	0.4960913894300794	(0.7979413010962738, 1.202058698903726)
6000	10	600	lognormal	166292.57304664567	0.03812989494988001	(0.9844696418299871, 1.015530358170013)
7000	10	700	uniform	164913.9882848401	0.04503060183964699	(0.9816589745106769, 1.018341025489323)
7000	10	700	normal	163922.41037132405	0.42438911678903785	(0.8271457344466153, 1.1728542655533847)
7000	10	700	lognormal	164145.23561067105	0.049897854847351354	(0.9796765357283754, 1.0203234642716246)
8000	10	800	uniform	166894.5159275677	0.03907524791987884	(0.9840845982771405, 1.0159154017228595)
8000	10	800	normal	167703.21227117945	0.47079520494584487	(0.8082444715060345, 1.1917555284939654)
8000	10	800	lognormal	168576.59026621067	0.04934255262955083	(0.9799027110783569, 1.020097288921643)
9000	10	900	uniform	167643.825269982	0.024052411906470342	(0.9902034198559642, 1.0097965801440358)
9000	10	900	normal	167746.81324855384	0.4990272018118332	(0.7967455407127604, 1.2032544592872396)
9000	10	900	lognormal	165109.2249807836	0.02735681015265476	(0.9888575339476221, 1.011142466052378)
10000	10	1000	uniform	168567.13468488774	0.051443172530472855	(0.9790471257303444, 1.0209528742696556)
10000	10	1000	normal	168024.60511991472	0.486326022334812	(0.8019187484207554, 1.1980812515792447)
10000	10	1000	lognormal	168726.10089689228	0.046961686511453125	(0.9808724410924969, 1.019127558907503)
11000	10	1100	uniform	167929.69131896927	0.050306498602594986	(0.9795100945700346, 1.0204899054299654)
11000	10	1100	normal	170514.49680148906	0.5631461211080195	(0.7706298175130808, 1.2293701824869192)
11000	10	1100	lognormal	169952.29778905658	0.04533074048653794	(0.9815367276308203, 1.0184632723691796)
12000	10	1200	uniform	166816.27769883507	0.02648636966021915	(0.9892120655462792, 1.010787934453721)
12000	10	1200	normal	165254.2614460679	0.2989567508668919	(0.878234508004571, 1.121765491995429)
12000	10	1200	lognormal	169845.8291009286	0.04407695290940355	(0.9820473970194353, 1.0179526029805646)
13000	10	1300	uniform	167997.66695178457	0.031559092689127544	(0.9871459385443617, 1.0128540614556383)
13000	10	1300	normal	169757.69087544968	0.6831080207751459	(0.7217691723150144, 1.2782308276849856)
13000	10	1300	lognormal	168671.89218243537	0.05038314736557784	(0.9794788754244278, 1.020521124575572)
14000	10	1400	uniform	167326.32280661128	0.03378352454395844	(0.9862399244188123, 1.0137600755811877)
14000	10	1400	normal	163709.6302868242	0.5119317157909373	(0.7914895145849974, 1.2085104854150026)
14000	10	1400	lognormal	165633.08466917204	0.04117781253172588	(0.9832282208457183, 1.0167717791542819)
15000	10	1500	uniform	169783.63769276443	0.06053685745982449	(0.9753432554672944, 1.0246567445327057)
15000	10	1500	normal	169492.0463484362	0.5711205360225341	(0.7673818274522245, 1.2326181725477756)
15000	10	1500	lognormal	168937.95297544505	0.0351150490056139	(0.9856975926912052, 1.0143024073087947)
16000	10	1600	uniform	171022.5595965253	0.024135036772294328	(0.9901697666355269, 1.009830233364473)
16000	10	1600	normal	171140.7914643359	0.40444628428877916	(0.8352684772986664, 1.1647315227013335)
16000	10	1600	lognormal	169733.89247637973	0.0320009765475993	(0.9869659586466821, 1.0130340413533179)
17000	10	1700	uniform	170973.50776560165	0.02597443512911909	(0.9894205771783734, 1.0105794228216267)
17000	10	1700	normal	171025.723355309	0.4476285069975064	(0.8176802991480232, 1.1823197008519768)
17000	10	1700	lognormal	170696.6231609171	0.05046085193350063	(0.9794472262480303, 1.0205527737519697)
18000	10	1800	uniform	169829.0438573882	0.028351845804000613	(0.9884522545709638, 1.0115477454290362)
18000	10	1800	normal	171024.79004331678	0.23699520753606332	(0.9034715290338559, 1.096528470966144)
18000	10	1800	lognormal	172580.36787288744	0.04365408357010465	(0.9822196322775462, 1.017780367722454)
19000	10	1900	uniform	172422.8288732917	0.04404794667913814	(0.9820592112965473, 1.0179407887034528)
19000	10	1900	normal	172119.66371405046	0.46820509510291786	(0.8092994267744192, 1.1907005732255809)
19000	10	1900	lognormal	170662.92314850062	0.028418128504544938	(0.9884252575367133, 1.0115747424632866)
20000	10	2000	uniform	165487.29662417996	0.039736003825246446	(0.9838154714965187, 1.0161845285034814)
20000	10	2000	normal	168634.31006522462	0.6780992552716749	(0.7238092493296706, 1.2761907506703294)
20000	10	2000	lognormal	170029.92807283465	0.03836665218650176	(0.9843732102848985, 1.0156267897151015)
21000	10	2100	uniform	167603.22417204984	0.03133608324884726	(0.9872367705932672, 1.0127632294067328)
21000	10	2100	normal	168632.51222308673	0.5819215958908659	(0.7629825410500082, 1.2370174589499918)
21000	10	2100	lognormal	167375.53526795807	0.027713303860859913	(0.9887123335745012, 1.0112876664254988)
22000	10	2200	uniform	169326.74623556243	0.030711938077820262	(0.9874909857719052, 1.0125090142280948)
22000	10	2200	normal	169003.8737301078	0.5490478986767204	(0.7763720427200053, 1.2236279572799946)
22000	10	2200	lognormal	168900.31835637143	0.03453947316638703	(0.9859320255148191, 1.014067974485181)
23000	10	2300	uniform	169560.80169467616	0.027108965864557532	(0.9889584812638841, 1.011041518736116)
23000	10	2300	normal	169693.89758905402	0.6473994217962779	(0.7363133333367045, 1.2636866666632955)
23000	10	2300	lognormal	167793.24755324252	0.03137552295107902	(0.9872207067488065, 1.0127792932511934)
24000	10	2400	uniform	168557.73343618444	0.025524362000950315	(0.9896038925767595, 1.0103961074232404)
24000	10	2400	normal	169353.16771289762	0.5516149585535185	(0.7753264757342335, 1.2246735242657665)
24000	10	2400	lognormal	169273.25616701617	0.03754904200582959	(0.9847062240255863, 1.0152937759744138)
25000	10	2500	uniform	169445.78195531064	0.032399012330625136	(0.9868038381298804, 1.0131961618701197)
